ID, created_at, vehicle, latitude, longitude
"1|2411|7|86|7032024",,"S75",52.510676,13.498355
"1|56512|1|86|7032024",,"RB32",52.510676,13.498355
"1|1910|0|86|7032024",,"S5",52.510676,13.498355
"1|2423|6|86|7032024",,"S75",52.510676,13.498355
"1|3704|3|86|7032024",,"S5",52.510676,13.498355
"1|2184|2|86|7032024",,"S7",52.510676,13.498355
"1|1997|2|86|7032024",,"S5",52.510676,13.498355
"1|2309|5|86|7032024",,"S7",52.510676,13.498355
"1|1748|0|86|7032024","2024-03-07T07:40:00+01:00","S5",52.510676,13.498355
"1|45955|0|86|7032024","2024-03-07T07:40:00+01:00","U5",52.511135,13.498499
"1|46196|2|86|7032024","2024-03-07T07:40:00+01:00","U5",52.511135,13.498499
"1|27942|4|86|7032024","2024-03-07T07:41:00+01:00","240",52.510389,13.49947
"1|18524|0|86|7032024","2024-03-07T07:41:00+01:00","108",52.510389,13.49947
"1|58608|5|86|7032024","2024-03-07T07:45:00+01:00","296",52.510389,13.49947
"1|46194|7|86|7032024","2024-03-07T07:45:00+01:00","U5",52.511135,13.498499
"1|61614|4|86|7032024","2024-03-07T07:45:00+01:00","21",52.511953,13.497654
"1|45952|6|86|7032024","2024-03-07T07:46:00+01:00","U5",52.511135,13.498499
"1|29035|3|86|7032024","2024-03-07T07:47:00+01:00","256",52.511953,13.497654
"1|27903|3|86|7032024","2024-03-07T07:47:00+01:00","240",52.510389,13.49947
"1|46195|7|86|7032024","2024-03-07T07:49:00+01:00","U5",52.511135,13.498499
"1|1752|0|86|7032024",,"S5",52.510676,13.498355
"1|2407|0|86|7032024",,"S75",52.510676,13.498355
"1|56512|2|86|7032024",,"RB32",52.510676,13.498355
"1|1910|3|86|7032024",,"S5",52.510676,13.498355
"1|2423|9|86|7032024",,"S75",52.510676,13.498355
"1|2184|5|86|7032024",,"S7",52.510676,13.498355
"1|1997|5|86|7032024",,"S5",52.510676,13.498355
"1|2308|2|86|7032024",,"S7",52.510676,13.498355
"1|46203|3|86|7032024","2024-03-07T08:39:00+01:00","U5",52.511135,13.498499
"1|45965|0|86|7032024","2024-03-07T08:41:00+01:00","U5",52.511135,13.498499
"1|27943|0|86|7032024","2024-03-07T08:42:00+01:00","240",52.510389,13.49947
"1|45978|0|86|7032024","2024-03-07T08:43:00+01:00","U5",52.511135,13.498499
"1|46166|4|86|7032024","2024-03-07T08:43:00+01:00","U5",52.511135,13.498499
"1|29035|6|86|7032024","2024-03-07T08:44:00+01:00","256",52.511953,13.497654
"1|58608|11|86|7032024","2024-03-07T08:45:00+01:00","296",52.510389,13.49947
"1|61614|7|86|7032024","2024-03-07T08:45:00+01:00","21",52.511953,13.497654
"1|27903|8|86|7032024","2024-03-07T08:47:00+01:00","240",52.510389,13.49947
"1|18537|1|86|7032024","2024-03-07T08:47:00+01:00","108",52.510389,13.49947
"1|45965|1|86|7032024","2024-03-07T08:48:00+01:00","U5",52.511135,13.498499
"1|46203|4|86|7032024","2024-03-07T08:48:00+01:00","U5",52.511135,13.498499
"1|27903|9|86|7032024","2024-03-07T08:49:00+01:00","240",52.510389,13.49947
"1|2405|2|86|7032024",,"S75",52.510676,13.498355
"1|56512|3|86|7032024",,"RB32",52.510676,13.498355
"1|1919|0|86|7032024",,"S5",52.510676,13.498355
"1|2427|1|86|7032024",,"S75",52.510676,13.498355
"1|2184|8|86|7032024",,"S7",52.510676,13.498355
"1|2308|5|86|7032024",,"S7",52.510676,13.498355
"1|16364|2|86|7032024","2024-03-07T09:39:00+01:00","RB26",52.510676,13.498355
"1|27945|4|86|7032024","2024-03-07T09:40:00+01:00","240",52.510389,13.49947
"1|1796|1|86|7032024","2024-03-07T09:42:00+01:00","S5",52.510676,13.498355
"1|45978|6|86|7032024","2024-03-07T09:42:00+01:00","U5",52.511135,13.498499
"1|30632|0|86|7032024","2024-03-07T09:42:00+01:00","296",52.510389,13.49947
"1|46172|0|86|7032024","2024-03-07T09:43:00+01:00","U5",52.511135,13.498499
"1|61614|10|86|7032024","2024-03-07T09:45:00+01:00","21",52.511953,13.497654
"1|29035|9|86|7032024","2024-03-07T09:46:00+01:00","256",52.511953,13.497654
"1|45965|7|86|7032024","2024-03-07T09:46:00+01:00","U5",52.511135,13.498499
"1|18537|4|86|7032024","2024-03-07T09:48:00+01:00","108",52.510389,13.49947
"1|46203|10|86|7032024","2024-03-07T09:48:00+01:00","U5",52.511135,13.498499
"1|27904|3|86|7032024","2024-03-07T09:49:00+01:00","240",52.510389,13.49947
"1|1796|4|86|7032024",,"S5",52.510676,13.498355
"1|56519|0|86|7032024",,"RB32",52.510676,13.498355
"1|2405|5|86|7032024",,"S75",52.510676,13.498355
"1|1919|3|86|7032024",,"S5",52.510676,13.498355
"1|2427|4|86|7032024",,"S75",52.510676,13.498355
"1|2184|11|86|7032024",,"S7",52.510676,13.498355
"1|2310|2|86|7032024",,"S7",52.510676,13.498355
"1|27945|10|86|7032024","2024-03-07T10:39:00+01:00","240",52.510389,13.49947
"1|27904|8|86|7032024","2024-03-07T10:40:00+01:00","240",52.510389,13.49947
"1|45984|2|86|7032024","2024-03-07T10:41:00+01:00","U5",52.511135,13.498499
"1|30619|0|86|7032024","2024-03-07T10:43:00+01:00","296",52.510389,13.49947
"1|46172|6|86|7032024","2024-03-07T10:43:00+01:00","U5",52.511135,13.498499
"1|61614|13|86|7032024","2024-03-07T10:45:00+01:00","21",52.511953,13.497654
"1|45965|13|86|7032024","2024-03-07T10:46:00+01:00","U5",52.511135,13.498499
"1|29035|12|86|7032024","2024-03-07T10:47:00+01:00","256",52.511953,13.497654
"1|18537|7|86|7032024","2024-03-07T10:47:00+01:00","108",52.510389,13.49947
"1|27904|9|86|7032024","2024-03-07T10:48:00+01:00","240",52.510389,13.49947
